source,question,correct_answer,answer_option_2,answer_option_3,answer_option_4,answer_option_5,explanation
AP Psychology Practice Test 10 Personality.txt,Humanistic psychology has been most closely associated with an emphasis on the  importance of what?,Positive self-concept,External locus of control,Free association,Projective tests,Reciprocal determinism,"Self-concept refers to how someone thinks about, evaluates, or  perceives themselves. Humanistic psychology focuses on promoting positive  self-concepts grounded in the idea that people are inherently good. This perspective also  stresses the importance of personal agency in actualizing the self."
AP Psychology Practice Test 10 Personality.txt,Which personality test classifies people in terms of the personality dimensions  highlighted by Carl Jung?,Myers-Briggs Type Indicator,Thematic Apperception Test,Rorschach inkblot test,Minnesota Multiphasic Personality Inventory,Sternberg's Triarchic Personality Test,The MBTI is based on Jung's personality dimensions and  categorizes personality into 16 different types based on an individual's preference for one  side or another of four dichotomous pairs.
AP Psychology Practice Test 10 Personality.txt,"Who proposed that the mind is split up into three parts — id, ego, and super ego?",Sigmund Freud,Mary Horney,Carl Jung,Harry Harlow,Carl Rogers,"Sigmund Freud proposed the idea that the mind consists of  three distinct parts — the id, ego, and superego. According to Freud, the id is primarily  concerned with satisfying wants and needs. The ego is responsible for meeting the id's  demands in ways acceptable to society. The superego relates to ideas of what is right and  wrong."
AP Psychology Practice Test 10 Personality.txt,What is the act of reverting to childish behaviors?,Regression,Compensation,Rationalization,Repression,Reaction formation,"Regression, as identified by Freud, is the act of retreating to an  earlier stage of development as a means of self preservation."
AP Psychology Practice Test 10 Personality.txt,"Which of the following theorists would most likely agree with the statement: ""Patients  need to know that we respect them, no matter the choices they make.""?",Carl Rogers,Alfred Adler,Sigmund Freud,Karen Horney,Carl Jung,"Carl Rogers was the leader of the humanistic psychology  movement, spreading the concept of unconditional positive regard. Because of this focus  on unconditional positive regard and compassion toward the human, Carl Rogers is most  likely to agree with the statement."
AP Psychology Practice Test 10 Personality.txt,Which theory of personality emphasizes the value and importance of unconditional  positive regard in relationships?,Psychoanalytic,Behavioral,Cognitive,Developmental,Humanistic,"An external locus of control is the belief that events in one's life,  regardless of their quality, are caused by uncontrollable factors such as the environment,  other people, or a higher power and are unrelated to the choices made by the individual.  In this case, the person is most likely to blame the grade on the teacher and not on the  lack of time spent studying."
AP Psychology Practice Test 10 Personality.txt,"Dr. Foster wants to assess the extent to which a client is suffering from depression,  delusions, and other symptoms of psychological disorders. Which personality assessment  would be most helpful for this purpose?",Rorschach Test,Hypnosis,Minnesota Multiphasic Personality Inventory,Myers-Briggs Type Indicator,Thematic Apperception Test,This is a foundational belief in humanistic psychology.
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt","Chip believes that human behavior is generated in our unconscious minds and is the  result of unresolved conflicts and desires, especially rooted in childhood experience. To  which psychological perspective is Chip most likely to prescribe?",Psychodynamic,Sociocultural,Cognitive,Humanistic,Evolutionary,"The Psychodynamic perspective  suggests that behavior is the result of unconscious dynamics (inner forces), that  childhood experience plays a crucial role in the development of adult behavior, and that  behavioral traits can be linked to earlier traumatic experiences."
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt","Debbie is interested in determining if music helps people study. To do this, she uses the  help of 20 students in her psychology class. Half the people study with music in the  background for an hour and the other half study with no music for an hour. The students then take a test on that material. In this example, what is the independent variable?",Music versus no music,Group that studies with no music,Group that studies with music,Scores on the exam,Students in the class,"The independent variable is the  variable manipulated in a study. In this case, the ""condition"" applied is listening to music  or NOT listening to music. The dependent variable in this study is the students'  performance on the test."
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt",What is the only form of psychological research that can determine cause and effect?,Experiment,Survey,Longitudinal study,Correlational study,Comparative study,Correlational studies cannot prove  causation; the only form of psychological research that can determine causation is an  experiment in which a variable is manipulated and the results are measured.
